schoolId,prizeId,name,category,description,image,price,stock,active,sort,createdAt,updatedAt
308_longbeach_elementary,sticker_pack,Sticker Pack,small,A fun set of colorful stickers.,/readathon-world_Ver2/img/prizes/sticker-pack.png,0.15,100,true,10,,
308_longbeach_elementary,cool_pencil,Cool Pencil,school,A fun prize for school and writing time.,/readathon-world_Ver2/img/prizes/cool-pencil.png,0.50,80,true,20,,
308_longbeach_elementary,mini_plush,Mini Plush,plush,A cute mini plush friend.,/readathon-world_Ver2/img/prizes/mini-plush.png,1.00,35,true,30,,
308_longbeach_elementary,mystery_toy,Mystery Toy,toys,A surprise toy reward.,/readathon-world_Ver2/img/prizes/mystery-toy.png,2.50,24,true,40,,
308_longbeach_elementary,wireless_headphones,Wireless Headphones,electronics,A bigger reward for strong fundraising.,/readathon-world_Ver2/img/prizes/wireless-headphones.png,6.00,8,true,50,,
308_longbeach_elementary,book_bundle,Book Bundle,books,A fun stack of books for growing readers.,/readathon-world_Ver2/img/prizes/book-bundle.png,3.00,12,true,60,,
308_longbeach_elementary,treasure_box,Classroom Treasure Box,other,A special mystery reward from the prize store.,/readathon-world_Ver2/img/prizes/treasure-box.png,4.00,10,true,70,,
308_longbeach_elementary,giant_plush,Giant Plush,plush,A jumbo plush prize for top fundraisers.,/readathon-world_Ver2/img/prizes/giant-plush.png,8.00,5,true,80,,
308_longbeach_elementary,tablet_prize,Tablet Prize,electronics,A premium tech reward.,/readathon-world_Ver2/img/prizes/tablet-prize.png,15.00,2,true,90,,
308_longbeach_elementary,grand_prize_bundle,Grand Prize Bundle,electronics,A top-level grand prize bundle.,/readathon-world_Ver2/img/prizes/grand-prize-bundle.png,25.00,1,true,100,,